model_series,model_number,model_name,postfix,generation_number,generation_type,original_name
X,1,Carbon,,5,new,Lenovo ThinkPad X1 Carbon (5th Gen)
X,2,NONAME,,70,old,Lenovo ThinkPad X270
P,52,NONAME,s,UNKNOWN,new,Lenovo P52s
14,,NONAME,,6,new,Lenovo ThinkBook 14 Gen 6
10,,NONAME,,2,new,Lenovo ThinkPad 10 (2nd Gen)
11,,NONAME,e,UNKNOWN,new,Lenovo ThinkPad 11e
11,,NONAME,e,2,new,Lenovo ThinkPad 11e (2nd Gen)
11,,NONAME,e,3,new,Lenovo ThinkPad 11e (3rd Gen)
11,,NONAME,e,4,new,Lenovo ThinkPad 11e (4th Gen)
11,,NONAME,e,5,new,Lenovo ThinkPad 11e (5th Gen)
11,,NONAME,e,3,new,Lenovo ThinkPad 11e 3rd Gen
11,,NONAME,e,3,new,Lenovo ThinkPad 11e Chromebook (3rd Gen)
11,,NONAME,e,5,new,Lenovo ThinkPad 11e Gen 5
13,,NONAME,,13,new,Lenovo ThinkPad 13
13,,NONAME,,2,new,Lenovo ThinkPad 13 (2nd Gen
13,,NONAME,,2,new,Lenovo ThinkPad 13 (2nd Gen)
13,,NONAME,,UNKNOWN,new,Lenovo ThinkPad 13 Chromebook
13,,NONAME,x,UNKNOWN,new,Lenovo ThinkPad 13x
14,,NONAME,,6,new,Lenovo ThinkPad 14 Gen 6
25,,NONAME,,25,new,Lenovo ThinkPad 25
3,2,NONAME,,0,old,"Lenovo ThinkPad 320 15"""
5,7,NONAME,,0,old,Lenovo ThinkPad 570
A,2,NONAME,,75,old,Lenovo ThinkPad A275
A,2,NONAME,,85,old,Lenovo ThinkPad A285
A,4,NONAME,,75,old,Lenovo ThinkPad A475
A,4,NONAME,,85,old,Lenovo ThinkPad A485
C,13,Yoga,,1,new,Lenovo ThinkPad C13 Yoga Gen 1 Chromebook
C,14,NONAME,,1,new,Lenovo ThinkPad C14 Gen 1 Chromebook
E,14,NONAME,,UNKNOWN,new,Lenovo ThinkPad E14
E,14,NONAME,,2,new,Lenovo ThinkPad E14 Gen 2
E,14,NONAME,,2,new,Lenovo ThinkPad E14 Gen 2 (AMD)
E,14,NONAME,,2,new,Lenovo ThinkPad E14 Gen 2 (Intel)
E,14,NONAME,,3,new,Lenovo ThinkPad E14 Gen 3
E,14,NONAME,,4,new,Lenovo ThinkPad E14 Gen 4
E,14,NONAME,,5,new,Lenovo ThinkPad E14 Gen 5
E,14,NONAME,,6,new,Lenovo ThinkPad E14 Gen 6
E,15,NONAME,,UNKNOWN,new,Lenovo ThinkPad E15
E,15,NONAME,,2,new,Lenovo ThinkPad E15 Gen 2
E,15,NONAME,,2,new,Lenovo ThinkPad E15 Gen 2 (AMD)
E,15,NONAME,,2,new,Lenovo ThinkPad E15 Gen 2 (Intel)
E,15,NONAME,,3,new,Lenovo ThinkPad E15 Gen 3
E,15,NONAME,,3,new,"Lenovo ThinkPad E15 Gen 3 15.6"""
E,15,NONAME,,4,new,Lenovo ThinkPad E15 Gen 4
E,16,NONAME,,1,new,Lenovo ThinkPad E16 Gen 1
E,16,NONAME,,2,new,Lenovo ThinkPad E16 Gen 2
E,4,NONAME,,50,old,Lenovo ThinkPad E450
E,4,NONAME,,60,old,Lenovo ThinkPad E460
E,4,NONAME,,65,old,Lenovo ThinkPad E465
E,4,NONAME,,70,old,Lenovo ThinkPad E470
E,4,NONAME,,80,old,Lenovo ThinkPad E480
E,4,NONAME,,85,old,Lenovo ThinkPad E485
E,4,NONAME,,90,old,Lenovo ThinkPad E490
E,4,NONAME,,90,old,Lenovo ThinkPad E490 / E495
E,4,NONAME,s,90,old,Lenovo ThinkPad E490s
E,4,NONAME,,95,old,Lenovo ThinkPad E495
E,5,NONAME,,40,old,Lenovo ThinkPad E540
E,5,NONAME,,50,old,Lenovo ThinkPad E550
E,5,NONAME,,60,old,Lenovo ThinkPad E560
E,5,NONAME,,65,old,Lenovo ThinkPad E565
E,5,NONAME,,70,old,Lenovo ThinkPad E570
E,5,NONAME,,75,old,Lenovo ThinkPad E575
E,5,NONAME,,80,old,Lenovo ThinkPad E580
E,5,NONAME,,85,old,Lenovo ThinkPad E585
E,5,NONAME,,90,old,Lenovo ThinkPad E590
E,5,NONAME,,95,old,Lenovo ThinkPad E595
E,4,Edge,,70,old,Lenovo ThinkPad Edge E470
E,5,Edge,,30,old,Lenovo ThinkPad Edge E530
E,5,Edge,,31,old,Lenovo ThinkPad Edge E531
E,5,Edge,,40,old,Lenovo ThinkPad Edge E540
E,5,Edge,,70,old,Lenovo ThinkPad Edge E570
E,5,Edge,,90,old,Lenovo ThinkPad Edge E590
E,5,Edge,,95,old,Lenovo ThinkPad Edge E595
L,13,NONAME,,UNKNOWN,new,Lenovo ThinkPad L13
L,13,NONAME,,5,new,Lenovo ThinkPad L13 2-in-1 Gen 5
L,13,NONAME,,2,new,Lenovo ThinkPad L13 Gen 2
L,13,NONAME,,2,new,Lenovo ThinkPad L13 Gen 2 (Intel)
L,13,NONAME,,3,new,Lenovo ThinkPad L13 Gen 3
L,13,NONAME,,4,new,Lenovo ThinkPad L13 Gen 4
L,13,NONAME,,5,new,Lenovo ThinkPad L13 Gen 5
L,13,NONAME,,5,new,Lenovo ThinkPad L13 Gen 5 2-in-1
L,13,Yoga,,UNKNOWN,new,Lenovo ThinkPad L13 Yoga
L,13,Yoga,,2,new,Lenovo ThinkPad L13 Yoga Gen 2
L,13,Yoga,,2,new,Lenovo ThinkPad L13 Yoga Gen 2 (Intel)
L,13,Yoga,,3,new,Lenovo ThinkPad L13 Yoga Gen 3
L,13,Yoga,,4,new,Lenovo ThinkPad L13 Yoga Gen 4
L,14,NONAME,,UNKNOWN,new,Lenovo ThinkPad L14
L,14,NONAME,,1,new,Lenovo ThinkPad L14 Gen 1
L,14,NONAME,,1,new,Lenovo ThinkPad L14 Gen 1 (AMD)
L,14,NONAME,,1,new,Lenovo ThinkPad L14 Gen 1 (Intel)
L,14,NONAME,,2,new,Lenovo ThinkPad L14 Gen 2
L,14,NONAME,,2,new,Lenovo ThinkPad L14 Gen 2 (Intel)
L,14,NONAME,,3,new,Lenovo ThinkPad L14 Gen 3
L,14,NONAME,,4,new,Lenovo ThinkPad L14 Gen 4
L,14,NONAME,,4,new,Lenovo ThinkPad L14 Gen 4 (Intel)
L,14,NONAME,,5,new,Lenovo ThinkPad L14 Gen 5
L,14,NONAME,,1,new,Lenovo ThinkPad L14 Gen1
L,15,NONAME,,1,new,Lenovo ThinkPad L15 Gen 1
L,15,NONAME,,1,new,Lenovo ThinkPad L15 Gen 1 (AMD)
L,15,NONAME,,1,new,Lenovo ThinkPad L15 Gen 1 (Intel)
L,15,NONAME,,2,new,Lenovo ThinkPad L15 Gen 2
L,15,NONAME,,2,new,Lenovo ThinkPad L15 Gen 2 (Intel)
L,15,NONAME,,3,new,Lenovo ThinkPad L15 Gen 3
L,15,NONAME,,3,new,Lenovo ThinkPad L15 Gen 3 AMD
L,15,NONAME,,4,new,Lenovo ThinkPad L15 Gen 4
L,16,NONAME,,1,new,Lenovo ThinkPad L16 Gen 1
L,3,NONAME,,80,old,Lenovo ThinkPad L380
L,3,Yoga,,80,old,Lenovo ThinkPad L380 Yoga
L,3,NONAME,,90,old,Lenovo ThinkPad L390
L,3,Yoga,,90,old,Lenovo ThinkPad L390 Yoga
L,4,NONAME,,60,old,Lenovo ThinkPad L460
L,4,NONAME,,70,old,Lenovo ThinkPad L470
L,4,NONAME,,80,old,Lenovo ThinkPad L480
L,4,NONAME,,90,old,Lenovo ThinkPad L490
L,5,NONAME,,60,old,Lenovo ThinkPad L560
L,5,NONAME,,70,old,Lenovo ThinkPad L570
L,5,NONAME,,80,old,Lenovo ThinkPad L580
L,5,NONAME,,90,old,Lenovo ThinkPad L590
P,1,NONAME,,UNKNOWN,new,Lenovo ThinkPad P1
P,1,NONAME,,2,new,Lenovo ThinkPad P1 (2nd Gen)
P,1,NONAME,,3,new,Lenovo ThinkPad P1 (Gen 3)
P,1,NONAME,,2,new,Lenovo ThinkPad P1 Gen 2
P,1,NONAME,,3,new,Lenovo ThinkPad P1 Gen 3
P,1,NONAME,,4,new,Lenovo ThinkPad P1 Gen 4
P,1,NONAME,,5,new,Lenovo ThinkPad P1 Gen 5
P,1,NONAME,,6,new,Lenovo ThinkPad P1 Gen 6
P,1,NONAME,,7,new,Lenovo ThinkPad P1 Gen 7
P,14,NONAME,s,1,new,Lenovo ThinkPad P14s Gen 1
P,14,NONAME,s,1,new,Lenovo ThinkPad P14s Gen 1 (AMD)
P,14,NONAME,s,1,new,Lenovo ThinkPad P14s Gen 1 (Intel)
P,14,NONAME,s,2,new,Lenovo ThinkPad P14s Gen 2
P,14,NONAME,s,3,new,Lenovo ThinkPad P14s Gen 3
P,14,NONAME,s,4,new,Lenovo ThinkPad P14s Gen 4
P,14,NONAME,s,5,new,Lenovo ThinkPad P14s Gen 5
P,15,NONAME,,1,new,Lenovo ThinkPad P15 Gen 1
P,15,NONAME,,2,new,Lenovo ThinkPad P15 Gen 2
P,15,NONAME,g,1,new,Lenovo ThinkPad P15g Gen 1
P,15,NONAME,s,1,new,Lenovo ThinkPad P15s Gen 1
P,15,NONAME,s,2,new,Lenovo ThinkPad P15s Gen 2
P,15,NONAME,v,1,new,Lenovo ThinkPad P15v Gen 1
P,15,NONAME,v,2,new,Lenovo ThinkPad P15v Gen 2
P,15,NONAME,v,3,new,Lenovo ThinkPad P15v Gen 3
P,16,NONAME,,1,new,Lenovo ThinkPad P16 Gen 1
P,16,NONAME,,2,new,Lenovo ThinkPad P16 Gen 2
P,16,NONAME,s,1,new,Lenovo ThinkPad P16s Gen 1
P,16,NONAME,s,2,new,Lenovo ThinkPad P16s Gen 2
P,16,NONAME,s,3,new,Lenovo ThinkPad P16s Gen 3
P,16,NONAME,v,1,new,Lenovo ThinkPad P16v Gen 1
P,16,NONAME,v,2,new,Lenovo ThinkPad P16v Gen 2
P,17,NONAME,,1,new,Lenovo ThinkPad P17 Gen 1
P,17,NONAME,,2,new,Lenovo ThinkPad P17 Gen 2
P,40,Yoga,,UNKNOWN,new,Lenovo ThinkPad P40 Yoga
P,43,NONAME,s,UNKNOWN,new,Lenovo ThinkPad P43s
P,50,NONAME,,UNKNOWN,new,Lenovo ThinkPad P50
P,50,NONAME,s,UNKNOWN,new,Lenovo ThinkPad P50s
P,51,NONAME,,UNKNOWN,new,Lenovo ThinkPad P51
